Timestamp,Email Address,Experience Level,Architecture Complexity,Performance Issues,Scalability Issues,Compatibility Issues,Budget Constraints,Schedule Constraints,Scope Constraints,Resource Constraints,Market Changes,Competition,Regulatory Requirements,Skill Gaps,Turnover,Team Communication Issues
04/04/2024 04:47:55,xolson@example.net,Advanced (6+ years),Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,No,No,No,Yes,Yes
07/02/2024 20:01:09,mikemeyer@example.org,Beginner (0-2 years),No,Yes,No,Yes,No,No,No,Yes,No,Yes,Yes,No,Yes,No
03/27/2024 23:13:25,qterry@example.com,Intermediate (3-5 years),Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,No
04/22/2024 21:18:54,madams@example.org,Advanced (6+ years),Yes,No,Yes,Yes,No,No,No,No,Yes,No,No,Yes,Yes,Yes
01/03/2024 12:38:43,kristinejones@example.net,Advanced (6+ years),No,Yes,No,No,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No
03/15/2024 01:36:21,ckline@example.org,Intermediate (3-5 years),Yes,No,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes
07/21/2024 04:08:47,scottallison@example.com,Beginner (0-2 years),No,Yes,Yes,Yes,No,No,No,Yes,No,Yes,Yes,No,Yes,Yes
04/14/2024 17:54:04,haydenwilliams@example.com,Intermediate (3-5 years),No,Yes,No,No,No,No,No,Yes,Yes,No,Yes,No,No,Yes
03/13/2024 16:12:06,gonzalesamy@example.com,Intermediate (3-5 years),No,Yes,No,No,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes
03/11/2024 02:03:45,hannah75@example.net,Beginner (0-2 years),No,No,No,Yes,Yes,No,No,No,Yes,No,Yes,No,No,Yes
06/07/2024 21:26:37,kathleenwise@example.net,Advanced (6+ years),No,Yes,Yes,No,Yes,Yes,No,No,No,Yes,Yes,No,Yes,Yes
04/23/2024 17:39:51,andersonangela@example.com,Advanced (6+ years),No,No,Yes,Yes,Yes,No,No,No,Yes,No,Yes,No,Yes,No
05/17/2024 09:57:36,jessica92@example.net,Advanced (6+ years),Yes,No,No,No,No,Yes,No,Yes,Yes,No,No,No,Yes,Yes
03/05/2024 00:39:14,kristin26@example.org,Advanced (6+ years),Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,Yes
04/14/2024 04:45:44,bradfordstephen@example.net,Intermediate (3-5 years),No,Yes,No,No,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes
02/04/2024 23:34:01,dschwartz@example.com,Advanced (6+ years),Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes
06/28/2024 03:20:16,gregorydelgado@example.net,Advanced (6+ years),Yes,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
03/25/2024 04:00:16,christinahoover@example.com,Advanced (6+ years),No,No,No,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes
04/01/2024 15:29:47,caldwellbianca@example.com,Advanced (6+ years),Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,Yes
02/05/2024 20:40:00,scott64@example.org,Advanced (6+ years),No,Yes,No,Yes,Yes,No,Yes,Yes,No,No,No,Yes,No,Yes
02/18/2024 09:23:36,nyoung@example.org,Beginner (0-2 years),No,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,No,Yes,No,Yes
02/01/2024 19:48:05,rebeccabaldwin@example.com,Intermediate (3-5 years),Yes,No,No,No,Yes,No,Yes,No,No,Yes,No,No,Yes,No
02/15/2024 07:27:28,warrensonya@example.org,Advanced (6+ years),No,No,No,No,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No
04/28/2024 04:13:12,susanaguilar@example.net,Advanced (6+ years),No,Yes,Yes,No,Yes,No,No,Yes,No,Yes,Yes,No,No,Yes
02/06/2024 00:11:58,pkhan@example.com,Intermediate (3-5 years),No,Yes,No,No,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No
07/12/2024 20:12:51,tracyhouston@example.net,Advanced (6+ years),No,Yes,Yes,No,No,No,Yes,No,Yes,Yes,No,No,No,Yes
04/29/2024 20:56:52,sara80@example.net,Intermediate (3-5 years),Yes,No,No,Yes,No,No,No,No,Yes,No,Yes,Yes,Yes,Yes
07/09/2024 23:21:47,webbcharlene@example.org,Beginner (0-2 years),No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,Yes
01/20/2024 21:40:37,cooleypamela@example.org,Advanced (6+ years),Yes,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,No,No
01/16/2024 18:19:57,lauren44@example.com,Advanced (6+ years),No,Yes,No,No,No,No,No,Yes,No,Yes,Yes,No,Yes,No
01/08/2024 06:40:50,hallmegan@example.org,Beginner (0-2 years),Yes,No,Yes,No,Yes,No,Yes,No,No,No,No,Yes,No,No
01/31/2024 15:21:22,chadmckinney@example.org,Advanced (6+ years),Yes,Yes,No,No,Yes,No,Yes,No,No,Yes,No,Yes,No,Yes
02/28/2024 12:20:41,perezmichael@example.net,Beginner (0-2 years),No,No,No,Yes,No,Yes,No,Yes,Yes,Yes,No,No,Yes,No
03/26/2024 06:06:58,gregory43@example.net,Beginner (0-2 years),Yes,Yes,No,No,Yes,Yes,No,Yes,No,No,Yes,No,No,No
01/05/2024 15:50:22,brownjose@example.com,Advanced (6+ years),No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No
02/13/2024 08:36:23,qroach@example.com,Beginner (0-2 years),No,No,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,No,No,No
07/10/2024 10:39:10,mirandacalhoun@example.net,Advanced (6+ years),Yes,Yes,No,No,No,Yes,No,Yes,Yes,No,No,Yes,No,Yes
01/19/2024 16:51:41,xjimenez@example.org,Advanced (6+ years),Yes,No,No,No,No,No,No,No,No,Yes,No,Yes,Yes,No
02/12/2024 05:50:48,conniejones@example.org,Advanced (6+ years),Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,No,Yes,No
04/27/2024 15:38:14,cynthiawilliams@example.com,Beginner (0-2 years),Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No
04/14/2024 15:55:29,amurphy@example.net,Beginner (0-2 years),No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No
01/10/2024 03:33:06,gregory85@example.org,Beginner (0-2 years),Yes,Yes,No,No,No,Yes,No,No,No,Yes,Yes,No,No,Yes
04/25/2024 10:47:09,evazquez@example.com,Intermediate (3-5 years),No,No,No,No,No,No,Yes,Yes,Yes,No,Yes,No,No,Yes
05/02/2024 05:41:12,laneerin@example.org,Advanced (6+ years),Yes,No,No,Yes,No,No,No,Yes,No,Yes,Yes,Yes,Yes,No
04/07/2024 22:00:15,barbaragonzalez@example.net,Beginner (0-2 years),Yes,No,No,No,No,Yes,No,No,No,No,Yes,Yes,No,Yes
06/29/2024 11:18:18,alexishamilton@example.org,Intermediate (3-5 years),No,Yes,No,Yes,Yes,No,No,No,Yes,Yes,No,No,Yes,No
03/10/2024 05:01:50,anthony29@example.net,Advanced (6+ years),Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,No,No,Yes,Yes
07/27/2024 17:10:41,wbrooks@example.net,Advanced (6+ years),No,No,Yes,No,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes
02/09/2024 21:56:52,bspencer@example.com,Advanced (6+ years),Yes,Yes,No,Yes,Yes,No,Yes,No,No,No,No,Yes,No,No
01/10/2024 12:53:57,garciatimothy@example.net,Intermediate (3-5 years),Yes,No,No,No,No,No,Yes,No,Yes,Yes,Yes,No,No,No
06/27/2024 02:38:28,jessicafox@example.org,Beginner (0-2 years),No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No
06/09/2024 00:18:29,jonathan13@example.com,Beginner (0-2 years),No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No
07/20/2024 00:27:02,james32@example.org,Beginner (0-2 years),No,No,Yes,Yes,No,Yes,Yes,Yes,No,No,No,Yes,No,Yes
01/19/2024 20:56:09,robert39@example.net,Beginner (0-2 years),No,Yes,No,No,Yes,Yes,No,Yes,No,No,No,Yes,No,No
07/28/2024 19:56:13,slopez@example.com,Advanced (6+ years),No,Yes,Yes,No,No,Yes,No,No,No,No,Yes,No,No,No
07/21/2024 22:37:50,raymondjanice@example.org,Advanced (6+ years),No,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes
02/15/2024 17:41:22,tara98@example.net,Beginner (0-2 years),No,No,No,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,Yes
01/19/2024 07:03:20,trevor01@example.com,Beginner (0-2 years),Yes,Yes,No,No,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes
01/13/2024 22:44:03,huberjamie@example.com,Beginner (0-2 years),No,Yes,Yes,No,No,Yes,No,No,Yes,Yes,No,No,Yes,No
07/12/2024 01:35:13,iwilliams@example.net,Intermediate (3-5 years),Yes,No,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,No
07/13/2024 20:35:23,michelle68@example.com,Advanced (6+ years),Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,No,Yes,No,No,Yes
07/04/2024 02:49:12,johnsanchez@example.com,Beginner (0-2 years),No,No,Yes,Yes,No,No,Yes,No,Yes,No,Yes,Yes,No,Yes
03/18/2024 20:07:08,austinmoreno@example.org,Beginner (0-2 years),Yes,No,Yes,Yes,Yes,No,No,Yes,No,No,No,Yes,Yes,Yes
01/17/2024 03:58:50,ashley60@example.net,Intermediate (3-5 years),Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,No,No
07/27/2024 13:53:23,xshepherd@example.net,Beginner (0-2 years),No,No,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No
01/30/2024 06:08:23,saragilbert@example.net,Advanced (6+ years),Yes,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes
07/12/2024 16:31:31,wyattchristina@example.net,Intermediate (3-5 years),No,No,Yes,No,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes
03/23/2024 14:10:12,ubarber@example.org,Intermediate (3-5 years),Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,Yes,No
02/03/2024 22:53:26,sethatkins@example.com,Intermediate (3-5 years),Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No
02/08/2024 13:54:37,perezashley@example.com,Beginner (0-2 years),No,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No
01/15/2024 14:29:12,monicanichols@example.com,Beginner (0-2 years),Yes,Yes,No,No,No,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes
02/19/2024 10:19:31,carolyn69@example.org,Beginner (0-2 years),Yes,Yes,No,No,No,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes
03/12/2024 19:35:51,kimberlypayne@example.org,Intermediate (3-5 years),No,No,No,Yes,No,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes
05/29/2024 01:57:37,fperez@example.org,Intermediate (3-5 years),No,No,Yes,No,No,Yes,Yes,No,No,Yes,Yes,No,No,Yes
01/12/2024 20:51:20,chungterri@example.net,Advanced (6+ years),Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,No,No,Yes,No
04/01/2024 17:20:12,cory68@example.net,Intermediate (3-5 years),Yes,No,Yes,Yes,Yes,No,Yes,No,No,Yes,No,Yes,Yes,Yes
07/20/2024 13:55:11,meadowstyrone@example.net,Beginner (0-2 years),No,No,Yes,No,Yes,No,No,Yes,Yes,No,No,Yes,No,No
04/06/2024 09:40:14,jennifer73@example.net,Beginner (0-2 years),Yes,No,Yes,Yes,No,No,No,Yes,Yes,No,No,No,No,Yes
05/20/2024 21:04:34,anthony46@example.net,Intermediate (3-5 years),No,Yes,Yes,No,No,No,No,No,Yes,No,Yes,No,No,No
01/27/2024 19:56:14,kvalentine@example.net,Advanced (6+ years),No,No,Yes,No,No,No,Yes,Yes,No,Yes,No,No,No,No
04/28/2024 10:59:18,zhunt@example.net,Intermediate (3-5 years),Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,Yes,Yes,Yes
06/08/2024 05:22:02,urocha@example.org,Intermediate (3-5 years),No,No,No,No,No,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes
07/03/2024 14:20:15,moorekaren@example.net,Intermediate (3-5 years),No,No,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes,No,No
05/03/2024 05:27:18,ortegadavid@example.net,Beginner (0-2 years),Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes
07/17/2024 07:11:52,riverajoseph@example.com,Beginner (0-2 years),No,No,Yes,No,No,No,Yes,No,No,Yes,No,No,No,No
04/24/2024 18:39:38,ostevens@example.net,Beginner (0-2 years),Yes,No,Yes,No,No,Yes,No,No,No,No,Yes,Yes,No,Yes
